id,Adresse,Annee_construction,Superficie,GES,Electricite_GJ_moyenne_4_ans,Gaz_naturel_GJ_moyenne_4_ans,Mazout_GJ_moyenne_4_ans,Conso_totale_GJ,GES_m2
1741,1870 Rue Davidson,1983.0,3896.0,198.046095406,2072.8058499999997,3900.7865,0.0,5973.59235,0.05083318670585216
4485,9091 Boulevard Henri-Bourassa O,1972.0,23040.0,183.86,307.152,3677.754,0.0,3984.906,0.007980034722222223
44,999 Rue De Louvain E,1966.0,4063.0,180.22,933.3036,3599.702,0.0,4533.0056,0.044356386906226924
107,1610 Rue Des Carrières,1960.0,3250.0,176.87,1486.2132,3527.996,0.0,5014.2092,0.054421538461538466
4490,6445 Avenue De Monkland,2011.0,5147.0,209.2266666666667,4631.91148,4105.921333333334,0.0,8737.832813333334,0.040650216954860444
626,7959 16E Avenue,1961.0,2590.0,171.24,1010.232,3419.43,0.0,4429.662,0.06611583011583012
2621,7000 Boulevard Maurice-Duplessis,2010.0,15587.02,162.10500000000002,5669.4429,3184.16,0.0,8853.6029,0.01039999948675244
482,11301 Boulevard De L' Acadie,1971.0,3977.0,169.31,3211.7364,3362.392,0.0,6574.1284,0.04257229067136032
450,2800 Rue Viau,1959.0,25599.0,164.46,6334.495199999999,3230.5319999999997,0.0,9565.027199999999,0.006424469705847885
3238,4398 Boulevard Lasalle,1967.0,5403.01,142.6293215,2301.83,2806.3545000000004,0.0,5108.1845,0.026398122805621312
3031,7650 Boulevard Châteauneuf (Anj),1976.0,5844.0,158.68,6778.08,3119.8379999999997,0.0,9897.918,0.027152635181382615
315,10560 Rue Saint-Hubert,1970.0,3796.0,159.530786766,3289.98564,3131.004,0.0,6420.98964,0.04202602391095891
104,2111 Rue Saint-Zotique E,1931.0,3292.0,129.85666666666663,2101.758453333334,2557.096666666667,0.0,4658.85512,0.039446132037262036
560,3430 Rue De Bellechasse,1976.0,18880.0,139.4,16132.6908,2655.8579999999997,0.0,18788.5488,0.007383474576271187
276,6750 Rue De Marseille,1970.0,3375.0,140.09,3757.2804,2772.86,0.0,6530.1404,0.04150814814814815
293,7047 Rue Saint-Dominique,1931.0,2762.0,127.61,293.5646,2532.764,0.0,2826.3286000000003,0.04620202751629254
480,8780 Avenue Dubuisson,1971.0,3557.0,169.40333333333334,3323.1562800000006,3327.2533333333336,0.0,6650.409613333334,0.04762533970574454
3114,820 Rue Saint-Germain,1961.0,3591.0,103.9075,1666.70667,2045.916,0.0,3712.6226699999997,0.02893553327763854
