id,Adresse,Annee_construction,Superficie,GES,Electricite_GJ_moyenne_5_ans,Gaz_naturel_GJ_moyenne_5_ans,Mazout_GJ_moyenne_5_ans,Conso_totale_GJ,GES_m2
601,1696 Rue Montcalm,1981,4162.0,89.85333333333334,4297.869839999999,1502.8000000000002,,5800.66984,0.021588979657216085
3018,1800 boul Saint-Joseph,0,4361.0,76.05666666666667,2042.75958,1428.85,,3471.60958,0.017440189558969657
2463,1825 Rue Notre-Dame O,1997,4840.0,277.545,2704.2,4730.2,,7434.4,0.057344008264462815
3052,183 Rue Érables,1976,,84.71000000000001,489.2459,1663.75,,2152.9959,
3052,183 rue des Érables,0,3103.0,204.51,,,,0.0,0.06590718659361908
1741,1870 Rue Davidson,1983,3896.0,198.046095406,2063.6083333333336,3901.866666666667,,5965.475,0.05083318670585216
101,1875 Avenue Morgan,1916,2457.0,116.44,,,,0.0,0.04739112739112739
3207,1925 rue Saint-Antoine,0,7288.0,84.78999999999999,4935.7,716.0,,5651.7,0.011634193194291986
25,200 Rue de Bellechasse,1929,16057.0,399.61,,,,0.0,0.024886965186523013
2383,2060 Rue Dickson,1958,9117.0,589.7705920200001,4297.678800000001,13040.199999999999,,17337.8788,0.0646891073840079
104,2111 Rue Saint-Zotique E,1931,3292.0,129.85666666666665,2111.54468,2440.0,,4551.54468,0.03944613203726204
1058,21253 Boulevard Gouin O,1961,2190.0,47.875,955.1754,,,955.1754,0.021860730593607307
138,2140 Avenue Madison,1960,7691.0,357.23,3252.88,7403.7,,10656.58,0.04644779612534131
435,2150 Rue Dickson,1958,2208.0,107.31,,,,0.0,0.04860054347826087
3434,2200 rue Saint-Antoine,0,4545.0,275.34666666666664,2713.30016,5121.799999999999,,7835.100159999999,0.060582324899156575
175,2235 Rue Michel-Jurdant,2001,3456.0,248.96171775200003,2143.0603466666666,4511.733333333334,,6654.793680000001,0.07203753407175927
1273,2269 Rue Viau,1948,9200.0,1071.05,4852.0,19776.5,,24628.5,0.11641847826086955
976,2275 Boulevard Saint-Joseph E,1962,6970.0,201.68999999999997,3604.61488,3671.15,,7275.764880000001,0.028936872309899567
3112,2345 boul. Thimens,1968,6707.0,129.18,10718.6,5046.9,,15765.5,0.0192604741315044
