id,Adresse,Annee_construction,Superficie,GES,Electricite_GJ_moyenne_4_ans,Gaz_naturel_GJ_moyenne_4_ans,Mazout_GJ_moyenne_4_ans,Conso_totale_GJ,GES_m2,latitude,longitude,ID_source,indice_structurel,indice_thermique,indice_hydrique,indice_vegetation,indice_global,geometry,ADIDU,NOTESOC,CentSoc,QuintSoc,indice_social_norm,indice_renouvelable,indice_resilience
1273,2269 Rue Viau,1996.0,9200.01,1071.05,5465.12,21233.188,0.0,0.5975704607954793,1.0,45.5608159,-73.5399923,28812.0,0.1953417013430697,0.8278688524590163,0.4508196721311475,0.9478823146791621,0.7337995884001812,POINT (-73.5399923 45.5608159),24662058,0.0346179355216,80.0,4.0,0.5969649931935914,0.3952494757827002,0.34422722253091215
2,775 Rue Gosford,1913.0,25395.0,674.43,12221.0172,0.0,0.0,0.2735348951549094,0.22812202444548665,45.50973399999999,-73.5544025,26332.0,0.19411250434743912,0.7125,0.2,0.9322761138911373,0.5079283305197586,POINT (-73.5544025 45.50973399999999),24661257,0.0406368293806006,83.0,5.0,0.6259003733912865,1.0,0.5478398782303754
575,7355 Avenue Christophe-Colomb,1980.0,17021.02,528.3000000000001,5904.520533333333,10422.290666666666,0.0,0.3654321499364227,0.26660824896506485,45.5440099,-73.6146531,26944.0,0.1858014585920573,0.74,0.56,0.7541293825412758,0.6385275507116212,POINT (-73.6146531 45.5440099),24661500,0.0500440440960208,88.0,5.0,0.6711248516373993,0.5145923710303946,0.41651788977592374
868,12125 Rue Notre-Dame E,1914.0,14179.01,532.12424327,6317.69892,10482.372,0.0,0.37602480730468507,0.3223633725063867,45.6410294,-73.4903229,22297.0,0.30498574756169106,0.5875,0.5475,0.570627944607057,0.5506496424604723,POINT (-73.4903229 45.6410294),24660047,-0.0174178654095972,36.0,2.0,0.3468067881964742,0.5255469528142491,0.5929196068459754
105,1500 Rue Des Carrières,1929.0,12025.0,515.62,4332.7872,10285.232,0.0,0.3271853957659476,0.368318237166182,45.5378384,-73.5890297,28580.0,0.2097956727120445,0.9639639639639639,0.4774774774774775,0.7960609228493932,0.8071907459933768,POINT (-73.5890297 45.5378384),24661967,0.0596870882746297,93.0,5.0,0.7174830623165871,0.46497958764757263,0.3474044853202572
196,3440 Rue Jarry E,1968.0,8780.0,456.03,6882.8112,9071.094,0.0,0.35708564309960744,0.4461464603157504,45.5657492,-73.60748889999999,23522.0,0.2041897936249241,0.9726027397260273,0.4726027397260274,0.95520072681545,0.867887662602881,POINT (-73.60748889999999 45.5657492),24660362,0.0154413660932784,65.0,4.0,0.5047750758608218,0.5676480245403062,0.4489397254739069
2464,4880 Avenue Van Horne,1997.0,6302.0,447.78,4392.162,8926.846,0.0,0.2981104925412755,0.6103301817779483,45.4927706,-73.6384332,24370.0,0.11826136983492172,0.731418918918919,0.2567567567567568,0.6932321159412458,0.3908527736648595,POINT (-73.6384332 45.4927706),24660620,-0.0450732246532478,13.0,1.0,0.21385572559844718,0.4903512653751223,0.6703212217001311
25,200 Rue De Bellechasse,1929.0,16057.0,399.61,3772.656,7967.574,0.0,0.2627737552111883,0.21377183939653938,45.5305,-73.6031706,27478.0,0.19083512244786732,0.9691780821917808,0.37671232876712324,0.8886541901447723,0.7779434534044308,POINT (-73.6031706 45.5305),24661628,0.0449438508732564,86.0,5.0,0.646606055752386,0.48394702276057955,0.4079594152614282
1106,10351 Rue Sherbrooke E,,7042.0,386.04,5491.9331999999995,7681.662,0.0,0.2948558146080686,0.470884982461861,45.6206284,-73.5222908,32397.0,0.1602727214627217,0.3885291712104689,0.5544574700109052,0.7368005475058692,0.3338660903793187,POINT (-73.5222908 45.6206284),24662905,0.0541577984138143,90.0,5.0,0.6909014165700511,0.5566000222186258,0.46383551719165983
110,1600 Rue De Drucourt,1960.0,7527.0,371.09,5283.4752,7384.084,0.0,0.2835295475764986,0.42348291039983066,45.5410721,-73.5956175,28929.0,0.14916927850297898,0.6759259259259259,0.4629629629629629,0.6989978100270599,0.48444611159393525,POINT (-73.5956175 45.5410721),24662101,0.066782782160929,95.0,5.0,0.7515950777759561,0.5567502765756469,0.4077998459313572
2383,2060 Rue Dickson,1991.0,14442.01,589.77059202,3993.7833,11611.8545,0.0,0.3492906056501165,0.3507793555169845,45.5670896,-73.5321132,27735.0,0.20092407103976825,0.4629174852652259,0.42362475442043224,0.8182146747246242,0.3921492389068062,POINT (-73.5321132 45.5670896),24661720,0.0344114595050248,79.0,4.0,0.5959723752506161,0.43419751596052947,0.4862083448998775
2406,3444 Rue Saint-Joseph E,1975.0,6523.0,356.49,2111.5908,7118.312,0.0,0.20658677206411302,0.4694383083739917,45.433452,-73.69471519999999,29381.0,0.2126525941959536,0.5450680272108843,0.28996598639455784,0.5319755634599579,0.2865806351131005,POINT (-73.69471519999999 45.433452),24662218,0.088062812996712,99.0,5.0,0.8538972278514678,0.413558522377688,0.37706715637544136
248,5035 Rue De Rouen,1965.0,3847.0,337.86,1647.216,6749.37,0.0,0.1879351966847064,0.754385175204501,45.561483,-73.53853,28811.0,0.17671296496976055,0.6470588235294118,0.4522058823529411,0.7885920091201334,0.516097680191834,POINT (-73.53853 45.561483),24662058,0.0346179355216,80.0,4.0,0.5969649931935914,0.3887691248729904,0.4359393082040955
