id,Adresse,categorie_finale,indice_resilience,indice_global,indice_renouvelable,indice_importance,rang_final
9322,505 Boulevard De Maisonneuve E,Vulnérable – priorité élevée,0.4017123845255086,0.9767412182004804,0.2395953090645205,1.0,1.0
293,7047 Rue Saint-Dominique,Vulnérable – priorité élevée,0.3668426806766374,0.9152829623101156,0.3185768892433424,0.9597023837515376,2.0
154,5485 Chemin De La Côte-Saint-Paul,Vulnérable – priorité élevée,0.4029768585236459,1.0,0.6228547332566559,0.8965500835211413,3.0
3161,5115 Rue Des Galets,Vulnérable – priorité élevée,0.4244244601900949,0.7945302554796235,0.2395953090645205,0.8750303847613007,4.0
3725,944 Rue Saint-Paul O,Vulnérable – priorité élevée,0.4459324442416184,0.9936421919033948,0.6671468308610404,0.8529714838705126,5.0
626,7959 Av. 16E,Vulnérable – priorité élevée,0.4294293635401437,0.8347063231472628,0.3922913867525156,0.8499192103084879,6.0
77,5 Avenue Laurier O,Vulnérable – priorité élevée,0.4082459032444301,0.7846893504988657,0.3665174610243495,0.8401944171877315,7.0
154,5485 Ch. Côte-Saint-Paul,Vulnérable – priorité élevée,0.4376929318540739,1.0,0.7392509290960931,0.8398876002648015,8.0
626,7959 16E Avenue,Vulnérable – priorité élevée,0.4387243000784777,0.8347063231472628,0.4130137666653785,0.8379321805216579,9.0
105,1500 Rue Des Carrières,Vulnérable – priorité élevée,0.4319272731909224,0.8304145398543686,0.4649795876475726,0.8236146346670459,10.0
159,5115 Rue Rivard,Vulnérable – priorité élevée,0.4755492284616467,0.8345799176595213,0.4003784951124041,0.8192506233167628,11.0
190,8100 Boulevard Saint-Michel,Vulnérable – priorité élevée,0.472933392915603,0.8659096183036649,0.4856603627856459,0.8139478496179932,12.0
1273,2269 Rue Viau,Vulnérable – priorité élevée,0.4305867616966218,0.7747165684788899,0.3952494757827002,0.8117274489179761,13.0
138,2140 Avenue Madison,Vulnérable – priorité élevée,0.4641491177284152,0.8508828259151296,0.4853682457155237,0.8102300046170253,14.0
107,1610 Rue Des Carrières,Vulnérable – priorité élevée,0.4619382132132464,0.8304145398543686,0.4649795010544019,0.8053128846718619,15.0
196,3440 Rue Jarry E,Vulnérable – priorité élevée,0.4569523267188122,0.8764786058094944,0.5676480245403062,0.805139502394867,16.0
337,400 Avenue Ball,Vulnérable – priorité élevée,0.4808229745825968,0.8373396936313896,0.4514172084204153,0.8021548682857784,17.0
57,75 Rue Ontario,Priorité moyenne,0.4716658961613563,0.8156601343769132,0.4454369589399706,0.7963416865047162,18.0
25,200 Rue De Bellechasse,Vulnérable – priorité élevée,0.4608355568944492,0.8082182028724813,0.4839470227605795,0.7866656348000673,19.0
113,1350 Rue Des Carrières,Vulnérable – priorité élevée,0.4743351222494896,0.7795246009568733,0.4650368447561758,0.7667007490698116,20.0
3132,4555 Rue De Verdun,Vulnérable – priorité élevée,0.4933040344072239,0.8394138555434101,0.5594639550453329,0.7628629162038622,21.0
747,75 Rue Square-Sir-George-Étienne-Cartier,Vulnérable – priorité élevée,0.489698007785512,0.745419848828452,0.4270729606850861,0.7481094492186854,22.0
101,1875 Avenue Morgan,Vulnérable – priorité élevée,0.4599866960748197,0.7431753680820534,0.4843567102642381,0.7473928642222347,23.0
109,1350 Rue Carrières,Vulnérable – priorité élevée,0.4830883349908299,0.7795246009568733,0.5189127464108678,0.7449349631740804,24.0
747,75 Rue Du Square-Sir-George-Étienne-Cartier (,Vulnérable – priorité élevée,0.4917332335808388,0.745419848828452,0.4393374758612011,0.7431286170783277,25.0
191,5375 1Re Avenue,Vulnérable – priorité élevée,0.5196051180651979,0.7880090215033746,0.4844320923589578,0.7383535825009151,26.0
3234,4110 Boul Lasalle,Priorité moyenne,0.4784949787990395,0.8414916347777046,0.7046527747047133,0.7288903855070533,27.0
263,1055 Rue D' Hibernia,Vulnérable – priorité élevée,0.4912784151908725,0.8043053717031271,0.6215156766056606,0.7237670546047189,28.0
3434,2200 Rue Saint-Antoine,Priorité moyenne,0.507045960457409,0.7663725147494868,0.514845656034661,0.7235442251471446,29.0
578,5670 Rue Chauveau,Vulnérable – priorité élevée,0.5215528254493913,0.8582025990009723,0.6697037701238642,0.7234796813682425,30.0
609,5633 Rue Saint-Dominique,Vulnérable – priorité élevée,0.5231022461843585,0.819027520107325,0.5925865898934326,0.7221588299858707,31.0
263,1055 Rue Hibernia,Vulnérable – priorité élevée,0.4941237475657706,0.8043053717031271,0.6223083906706464,0.7217901530266589,32.0
3330,3175  Rue Remembrance,Vulnérable – priorité élevée,0.52008478657839,0.9034276787316856,0.7853480839926361,0.7166927839585201,33.0
2390,2633 Rue Ontario E,Vulnérable – priorité élevée,0.5358386546421201,0.7981084462720557,0.5643842941945127,0.7102338767404209,34.0
3018,1800 Boul Saint-Joseph,Priorité moyenne,0.4821298180695298,0.8037188370224595,0.6834465371015701,0.7101046558964745,35.0
317,6040 Boulevard Monk,Vulnérable – priorité élevée,0.5042284609614842,0.775290619394661,0.5856585738070952,0.7091088662281316,36.0
191,5375 Av. 1Re,Vulnérable – priorité élevée,0.5432824820596585,0.7880090215033746,0.5646024637789988,0.6994688315915538,37.0
3074,1411 Rue Lapierre,Vulnérable – priorité élevée,0.5047626181758954,0.7636638952659308,0.5949951192798202,0.6988458283253236,38.0
3088,3700 Rue Fleury E,Vulnérable – priorité élevée,0.5248060130029455,0.8170849637533232,0.6889133743531699,0.690563357605194,39.0
121,5354 Av. Gatineau,Priorité moyenne,0.4941282123509477,0.8026570142931336,0.7281490217163544,0.6885094439530296,40.0
